time,data,median,LB,UB
2017,58.9,58.9,58.9,58.9
2018,61.1,61.1,59.4,62.6
2019,61.9,61.7,60.2,63.1
2020,61.5,62.0,60.6,63.5
2021,62.6,62.3,60.7,63.8
2022,NaN,62.5,60.5,64.2
2023,NaN,62.7,59.6,64.6
2024,NaN,62.9,58.6,64.9
2025,NaN,63.0,57.5,65.1
2026,NaN,63.1,56.3,65.3
2027,NaN,63.3,55.1,65.5
2028,NaN,63.4,53.7,65.7
2029,NaN,63.4,52.4,65.9
2030,NaN,63.5,51.0,66.1
