time,data,median,LB,UB
2017,64.9,64.9,64.9,64.9
2018,66.3,66.2,64.0,68.4
2019,67.4,66.9,64.8,68.9
2020,66.5,67.2,65.2,69.2
2021,67.6,67.4,65.2,69.5
2022,NaN,67.6,64.4,70.0
2023,NaN,67.8,62.9,70.4
2024,NaN,67.9,60.8,70.7
2025,NaN,68.1,58.4,70.9
2026,NaN,68.2,55.8,71.3
2027,NaN,68.3,53.2,71.5
2028,NaN,68.4,50.5,71.8
2029,NaN,68.5,48.4,71.9
2030,NaN,68.5,45.6,72.2
