"Year","data","median","LB","UB"
2008,22921,22921,22921,22921
2009,21966,21388.9626659107,20367.3177892792,22401.2267781497
2010,21359,21093.0111869473,20161.0816808061,22054.2780678042
2011,20269,20781.8490288017,19838.3816512052,21704.4365164048
2012,20263,20404.9403910079,19501.3348545125,21306.5688012744
2013,19285,20024.4572310219,19142.7978651886,20895.9343012124
2014,19706,19633.6654496517,18707.1660773006,20541.3861287439
2015,19364,19238.7373052604,18340.2333496807,20161.6500417918
2016,19232,18837.4327087792,17944.2700386179,19733.1004521978
2017,18697,18456.5683765027,17554.3029481213,19345.6384682598
2018,18103,18046.3501138623,17156.9006744634,18987.4462370138
2019,17527,17666.4653900078,16743.7840414758,18574.9065575744
2020,14848,17290.2945776521,16358.9136081083,18203.336695457
2021,17068,16913.2810182877,15916.5498292491,17821.0312299991
2022,17808,16535.365872829,15552.3097489244,17431.5614225146
2023,NA,16173.5605474104,15180.8746623067,17112.0679144654
2024,NA,15807.7748708202,14795.8523610766,16726.2789569832
2025,NA,15478.0976214273,14455.3328490983,16412.3792532267
2026,NA,15117.7460833019,14008.9013191914,16053.003823514
2027,NA,14775.1650603187,13710.8361650152,15724.2058182451
2028,NA,14466.0029879131,13265.5978921369,15385.059704688
2029,NA,14128.4895031308,12994.6398930171,15082.9785338692
2030,NA,13817.9227785739,12612.2661009116,14748.3303698555
