"Year","data","median","LB","UB"
2008,13714,13714,13714,13714
2009,13623,13415.9399241673,12711.1329997954,14113.365015235
2010,13609,13620.6012203463,13010.7429075174,14223.9500280246
2011,13192,13611.703743656,13003.2716839385,14205.4242157351
2012,13490,13512.5838330845,12951.7100206291,14087.3163463755
2013,13064,13354.6524400094,12780.1766028715,13953.1824163504
2014,13446,13180.4694710507,12572.4395255497,13758.6882888865
2015,13252,12948.9914259445,12359.6430191912,13530.5243991845
2016,12999,12728.4588938324,12147.2796136448,13333.2717738692
2017,12702,12476.4622638093,11892.0660909333,13065.6209570999
2018,12100,12227.9605550277,11623.6657761015,12850.3369459959
2019,11707,11968.9097275525,11338.90105456,12585.314104569
2020,10231,11698.5652439518,11057.2027676175,12349.3311067553
2021,11592,11423.4055184712,10783.2804492415,12111.2606925118
2022,12181,11133.1137252778,10457.9049419496,11896.1205186651
2023,12429,10864.4595577139,10173.8322171372,11659.3758908316
2024,NA,10596.894174346,9868.32100421768,11457.6431616
2025,NA,10325.3178916539,9567.9464562863,11254.6783393847
2026,NA,10066.0328044633,9234.93692874163,11061.2118467777
2027,NA,9810.18273336544,8934.2847990436,10921.6779198228
2028,NA,9523.51504120995,8642.36119909395,10704.737171746
2029,NA,9282.09394779323,8358.35635976612,10577.648561478
2030,NA,9023.23888145159,8042.63791986686,10380.4015185724
