time,data,median,LB,UB
2017,70.0,70.0,70.0,70.0
2018,70.7,70.2,67.4,72.9
2019,71.4,70.8,68.3,73.3
2020,70.2,71.3,68.7,73.7
2021,71.7,71.5,68.7,74.2
2022,NaN,71.7,68.3,74.8
2023,NaN,71.9,67.4,75.2
2024,NaN,72.0,66.0,75.6
2025,NaN,72.2,64.8,76.1
2026,NaN,72.3,63.2,76.3
2027,NaN,72.4,61.2,76.7
2028,NaN,72.5,59.9,77.0
2029,NaN,72.5,57.9,77.3
2030,NaN,72.6,56.4,77.7
