time,data,median,LB,UB
2017,82.4,82.4,82.4,82.4
2018,84.5,84.1,82.5,85.7
2019,84.5,84.4,82.9,85.9
2020,85,84.4,82.9,85.9
2021,84.2,84.4,82.9,85.9
2022,83.5,84.3,82.6,85.9
2023,NaN,84.1,81.8,85.9
2024,NaN,84.0,80.7,85.9
2025,NaN,83.9,79.7,85.9
2026,NaN,83.7,78.7,86.0
2027,NaN,83.5,77.3,86.1
2028,NaN,83.3,76.0,86.2
2029,NaN,83.1,74.5,86.2
2030,NaN,82.9,73.0,86.3
