time,data,median,LB,UB
2017,78.6,78.6,78.6,78.6
2018,82.6,82.79246362,81.55174041,84.1261312
2019,84.8,84.43989768,83.37414669,85.51854648
2020,85.2,85.1802112,84.06390614,86.28704073
2021,84.9,85.37930862,84.30370351,86.49864132
2022,85.5,85.24804983,84.08809002,86.45260452
2023,NaN,84.860252,83.40162321,86.55420562
2024,NaN,84.29223496,82.50956427,86.87497747
2025,NaN,83.58827641,81.29920585,87.1551455
2026,NaN,82.76547131,79.72627972,87.47326424
2027,NaN,81.91720858,78.13820456,87.71066023
2028,NaN,80.98952348,76.51167288,87.88848271
2029,NaN,79.99370273,74.9599239,88.03242506
2030,NaN,79.00179656,73.26049826,88.28213983
