time,data,median,LB,UB
2017,78,78,78,78
2018,80.8,80.64731398,80.07190827,81.20730555
2019,82.1,82.2103827,81.73640853,82.68772862
2020,82.9,82.82673312,82.34581546,83.29802747
2021,82.6,82.823271,82.34670091,83.30800044
2022,82.5,82.45079726,81.92405273,82.97290117
2023,NaN,81.82845922,81.21701975,82.49085685
2024,NaN,81.0705403,80.24471053,81.79488738
2025,NaN,80.20205288,79.06311961,81.0210071
2026,NaN,79.23178938,77.7381927,80.18782236
2027,NaN,78.22461676,76.28100065,79.32670602
2028,NaN,77.14120764,74.86146507,78.39156907
2029,NaN,76.01916912,73.34351193,77.44889259
2030,NaN,74.87716105,71.78167734,76.59203955
