time,data,median,LB,UB
2017,74.2,74.2,74.2,74.2
2018,76.5,76.41372682,75.59528164,77.2149785
2019,78.2,78.53169698,77.87002217,79.23730855
2020,79.4,79.25139414,78.59103218,79.92795935
2021,79.2,79.12887722,78.45361357,79.79935668
2022,78.3,78.46614088,77.75929195,79.20963915
2023,NaN,77.48985315,76.6496591,78.35605225
2024,NaN,76.31384137,75.30272259,77.27290801
2025,NaN,74.96783667,73.71791245,76.11321943
2026,NaN,73.51439505,71.82291905,74.78787761
2027,NaN,71.9749752,70.01350418,73.5295342
2028,NaN,70.37124032,68.05307918,72.10569633
2029,NaN,68.74265992,65.99128677,70.72734813
2030,NaN,67.0540806,63.93642187,69.39808109
