Year,data,median,LB,UB
2008,12228,12227.5,12227,12228
2009,11492,11287.82431,10263.91286,12500.91654
2010,11101,11003.62538,10041.32759,11942.58746
2011,10580,10807.70122,9880.158018,11706.81211
2012,10497,10567.32291,9671.029591,11446.38827
2013,10155,10334.37052,9427.578061,11233.83298
2014,10087,10088.03773,9192.322612,10945.34754
2015,9940,9817.95968,8938.236176,10699.31193
2016,9644,9568.184987,8697.012066,10437.34566
2017,9425,9304.025056,8430.756696,10177.94004
2018,9215,9071.080068,8208.101488,9933.297006
2019,8887,8828.306494,7956.688941,9733.688017
2020,7643,8596.956044,7714.318782,9481.882737
2021,8980,8364.524384,7453.527193,9257.602474
2022,9102,8130.677182,7248.05915,9056.78527
2023,NaN,7902.107569,6985.243149,8833.459153
2024,NaN,7681.679712,6730.492835,8680.35579
2025,NaN,7473.515864,6517.670407,8502.992988
2026,NaN,7256.119504,6293.75746,8309.84146
2027,NaN,7057.545297,6041.797872,8146.71511
2028,NaN,6846.986312,5845.484322,8006.985808
2029,NaN,6670.626042,5586.702097,7856.165885
2030,NaN,6468.299941,5435.72947,7686.349071
