time,data,median,LB,UB
2017,72.8,72.8,72.8,72.8
2018,73.0,73.0,68.4,77.4
2019,74.0,73.4,69.5,77.4
2020,71.4,72.7,68.7,76.7
2021,72.4,71.3,66.9,75.5
2022,NaN,69.6,64.3,75.2
2023,NaN,67.4,60.8,75.1
2024,NaN,65.3,56.0,75.3
2025,NaN,63.0,51.2,75.4
2026,NaN,60.7,46.5,75.7
2027,NaN,58.2,42.4,75.9
2028,NaN,55.9,37.9,75.9
2029,NaN,53.5,34.1,76.1
2030,NaN,51.4,30.8,76.3
