time,data,median,LB,UB
2017,78.7,78.7,78.7,78.7
2018,82.6,82.8,80.4,85.1
2019,84.9,84.8,82.7,86.9
2020,85.8,85.2,83.1,87.2
2021,83.6,84.6,82.5,86.7
2022,83.9,83.5,81.0,85.9
2023,NaN,82.0,78.8,85.7
2024,NaN,80.1,76.0,85.9
2025,NaN,78.2,72.5,86.1
2026,NaN,76.1,69.0,86.3
2027,NaN,74.0,65.2,86.4
2028,NaN,71.7,61.6,86.5
2029,NaN,69.5,58.1,86.6
2030,NaN,67.3,54.5,86.8
