Year,data,median,LB,UB
2008,6271,6270.5,6270,6271
2009,6094,5985.223668,5196.940783,6870.33888
2010,5875,5856.20881,5126.868314,6585.736711
2011,5634,5792.134707,5072.38969,6496.289696
2012,5784,5774.800812,5061.252307,6453.701171
2013,5585,5763.654347,5073.189812,6442.626469
2014,5872,5779.433034,5102.646037,6440.938012
2015,5757,5780.320683,5105.904303,6459.9107
2016,5918,5759.067469,5066.806817,6465.447082
2017,5839,5726.167437,5044.730922,6423.652385
2018,5804,5680.303837,5024.227993,6367.181889
2019,5799,5610.434557,4908.375037,6300.22334
2020,4778,5524.264352,4834.171826,6239.466
2021,5747,5427.743161,4660.669508,6178.160665
2022,6680,5316.12395,4413.125583,6157.619509
2023,NaN,5200.508968,4173.606889,6110.229038
2024,NaN,5101.175017,3926.173815,6076.73148
2025,NaN,4992.578879,3626.689644,6074.905
2026,NaN,4890.522196,3322.980883,6056.757413
2027,NaN,4823.646503,3035.554867,6052.693297
2028,NaN,4701.008843,2761.386539,6035.014161
2029,NaN,4647.038067,2492.85304,6030.68357
2030,NaN,4593.527083,2219.938753,6039.715714
