time,data,median,LB,UB
2017,72.4,72.4,72.4,72.4
2018,72.9,72.4,69.6,75.1
2019,73.5,73.1,70.5,75.7
2020,72.5,73.5,70.9,76.0
2021,74.2,73.7,71.0,76.5
2022,NaN,73.9,70.0,77.0
2023,NaN,74.1,68.2,77.3
2024,NaN,74.3,67.0,77.9
2025,NaN,74.4,64.5,78.3
2026,NaN,74.6,62.2,78.6
2027,NaN,74.7,59.4,79.0
2028,NaN,74.8,57.3,79.3
2029,NaN,74.8,55.2,79.6
2030,NaN,75.0,52.7,80.1
