time,data,median,LB,UB
2017,52.4,52.4,52.4,52.4
2018,53.3,53.2,49.6,57.0
2019,54.5,53.7,50.4,57.1
2020,51.9,53.0,49.8,56.2
2021,52.4,51.8,48.2,55.3
2022,NaN,50.1,45.8,54.9
2023,NaN,48.3,42.2,54.9
2024,NaN,46.3,37.9,55.0
2025,NaN,44.2,33.3,55.2
2026,NaN,42.1,29.2,55.1
2027,NaN,40.1,25.9,55.3
2028,NaN,38.1,22.3,55.4
2029,NaN,36.2,18.9,55.5
2030,NaN,34.3,16.5,55.6
