Year,data,median,LB,UB
2008,7616,7615.5,7615,7616
2009,7132,6890.147267,6250.571673,7595.825553
2010,6879,6816.712338,6237.223278,7429.027878
2011,6588,6696.248512,6127.387156,7278.602656
2012,6462,6539.884274,5985.909693,7104.312332
2013,6034,6382.567249,5811.187704,6958.450753
2014,6203,6229.548623,5673.56035,6789.741002
2015,6064,6060.958297,5495.397639,6609.010109
2016,6069,5896.327229,5326.19888,6434.514062
2017,5905,5717.501455,5163.141725,6269.711628
2018,5683,5557.436071,4993.793897,6116.482032
2019,5538,5387.126983,4822.040376,5961.606769
2020,4672,5223.884158,4619.483562,5796.359722
2021,5221,5061.825082,4442.986656,5645.789968
2022,5145,4899.635383,4279.48999,5520.950329
2023,NaN,4729.986795,4039.009467,5381.80172
2024,NaN,4587.306413,3884.573589,5281.826543
2025,NaN,4435.423735,3659.54713,5160.754297
2026,NaN,4287.069834,3485.15456,5102.848111
2027,NaN,4150.935309,3322.496147,5027.001555
2028,NaN,4002.139823,3121.071323,4983.107736
2029,NaN,3868.42571,2921.45503,4878.392921
2030,NaN,3740.247115,2760.951937,4859.042814
