time,data,median,LB,UB
2017,81,81,81,81
2018,82.6,82.34534094,80.60964115,84.05680499
2019,82.6,83.14678474,81.54281863,84.69935009
2020,83.6,82.91268295,81.43740584,84.41927642
2021,82.1,82.34803657,80.84635998,83.86993814
2022,82.1,81.53344083,79.83965199,83.42128683
2023,NaN,80.33420761,78.56374926,83.07013054
2024,NaN,79.53362836,77.30429087,83.24392158
2025,NaN,78.36570786,75.53845285,83.22006552
2026,NaN,77.16343621,73.54521735,83.4349809
2027,NaN,75.83237631,71.26557217,83.51038534
2028,NaN,74.54712866,69.23523086,83.53518163
2029,NaN,73.1935526,66.93599107,83.58446056
2030,NaN,71.8011832,64.63220363,83.6885201
