time,data,median,LB,UB
2017,77.8,77.8,77.8,77.8
2018,80.2,80.08670379,79.26408576,80.9502716
2019,81.3,81.56184969,80.80167279,82.27195647
2020,82.4,82.10883709,81.31837578,82.80961569
2021,81.9,82.0411127,81.28117429,82.77007383
2022,81.6,81.63403911,80.79145847,82.49245021
2023,NaN,80.96379688,80.05759824,82.45419399
2024,NaN,80.15393416,79.20194823,82.64431034
2025,NaN,79.23037375,78.13467068,82.74664579
2026,NaN,78.23137146,76.91280846,82.89119275
2027,NaN,77.15203763,75.57473664,83.06310473
2028,NaN,76.01505519,74.13543879,83.06611834
2029,NaN,74.86482402,72.66459402,83.2816761
2030,NaN,73.66071365,71.23191731,83.39269139
