time,data,median,LB,UB
2017,67.2,67.2,67.2,67.2
2018,67.3,66.9,63.7,70.0
2019,66.7,66.4,63.5,69.3
2020,64.6,65.6,62.6,68.5
2021,65.4,64.6,61.4,67.8
2022,NaN,63.6,59.1,67.3
2023,NaN,62.6,56.5,66.9
2024,NaN,61.7,53.3,66.9
2025,NaN,60.7,49.6,66.8
2026,NaN,59.7,46.3,66.7
2027,NaN,58.9,42.3,66.8
2028,NaN,58.0,38.8,67.0
2029,NaN,57.1,35.9,66.8
2030,NaN,56.2,32.8,67.0
