Year,data,median,LB,UB
2008,242,242,241,242
2009,221,180.5254688,138.2105683,234.8019306
2010,166,172.5986195,134.6223349,211.2404147
2011,171,167.9362378,132.2334668,206.8259567
2012,151,164.471722,131.4072488,202.5902027
2013,136,159.9968664,125.0956694,196.0427799
2014,143,154.8121388,119.2647507,190.6932961
2015,144,150.2466076,116.0014192,186.3438176
2016,141,145.5740613,110.2759293,180.6446491
2017,148,141.3388747,105.4943153,175.5871321
2018,143,137.228605,100.8381036,172.870428
2019,140,132.3691388,96.49127535,168.060593
2020,123,128.183569,91.89976721,164.3431676
2021,142,124.2448684,86.69434593,159.6453309
2022,157,119.9092889,81.61698035,156.8578979
2023,NaN,116.2607519,75.25941729,152.8006486
2024,NaN,112.2830504,71.63606053,150.1728622
2025,NaN,108.0767163,67.40380624,147.2826523
2026,NaN,105.031377,62.33300831,143.5714985
2027,NaN,101.4068101,60.03428055,140.5586069
2028,NaN,98.0516883,54.05925927,137.4682083
2029,NaN,94.90371228,52.32213871,133.9532486
2030,NaN,91.20293261,46.42985439,130.4918657
