time,data,median,LB,UB
2017,75.6,75.6,75.6,75.6
2018,76.0,75.8,73.2,78.3
2019,76.2,75.7,73.3,78.2
2020,74.6,75.5,73.0,77.8
2021,75.5,75.0,72.4,77.8
2022,NaN,74.5,71.0,77.9
2023,NaN,74.0,69.2,78.1
2024,NaN,73.3,66.5,78.4
2025,NaN,72.7,63.9,78.5
2026,NaN,72.0,61.2,78.7
2027,NaN,71.2,58.1,78.8
2028,NaN,70.4,54.9,79.0
2029,NaN,69.7,52.2,79.0
2030,NaN,68.9,49.5,79.2
